Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.0016.001,https://quod.lib.umich.edu/m/moa/ADU6773.0016.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.0016.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.0017.001,https://quod.lib.umich.edu/m/moa/ADU6773.0017.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.0017.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.0018.001,https://quod.lib.umich.edu/m/moa/ADU6773.0018.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.0018.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.0019.001,https://quod.lib.umich.edu/m/moa/ADU6773.0019.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.0019.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.0020.001,https://quod.lib.umich.edu/m/moa/ADU6773.0020.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.0020.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.0021.001,https://quod.lib.umich.edu/m/moa/ADU6773.0021.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.0021.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.0022.001,https://quod.lib.umich.edu/m/moa/ADU6773.0022.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.0022.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.0023.001,https://quod.lib.umich.edu/m/moa/ADU6773.0023.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.0023.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.0024.001,https://quod.lib.umich.edu/m/moa/ADU6773.0024.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.0024.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.0025.001,https://quod.lib.umich.edu/m/moa/ADU6773.0025.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.0025.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.0026.001,https://quod.lib.umich.edu/m/moa/ADU6773.0026.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.0026.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.0027.001,https://quod.lib.umich.edu/m/moa/ADU6773.0027.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.0027.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.0029.001,https://quod.lib.umich.edu/m/moa/ADU6773.0029.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.0029.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.0030.001,https://quod.lib.umich.edu/m/moa/ADU6773.0030.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.0030.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.1863.001,https://quod.lib.umich.edu/m/moa/ADU6773.1863.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.1863.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.1866.001,https://quod.lib.umich.edu/m/moa/ADU6773.1866.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.1866.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aek2825.0001.001,https://quod.lib.umich.edu/m/moa/AEK2825.0001.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=The%20night%20before%20Christmas%3A%20%20by%20Clement%20C.%20Moore%20%3B%20illustrated%20by%20Arthur%20Rackham.,990010323490106381,AEK2825.0001.001," Moore, Clement Clarke, 1779-1863.",The night before Christmas:  by Clement C. Moore ; illustrated by Arthur Rackham.,[1954?].,"J. B. Lippincott,","Philadelphia, Pa. :",eng
